Export des établissement correspondant à  la rubrique est  2510 ;;;;;;;;;;;;;;;;;;
BASE;NUMERO;NOM;NOM USUEL;ADR EXPL 1;ADR EXPL 2;COMMUNE EXPL;DEPARTEMENT EXPL;ADR ADM 1;ADR ADM 2;COMMUNE ADM;CP ADM;BUREAU EXPEDITEUR;REGIME;REGIME SEVESO;ETAT ACTIV.;SIRET;LAMBERT 2 X;LAMBERT 2 Y
57;641;BOULOGNE Hauteville  Les Paqui;BOULOGNE Hauteville  Les Paqui;LES PAQUIS;;HAUTEVILLE;51;Route des Moeslains;;ST DIZIER;52100;ST DIZIER;;NS - NON SEVESO;Récolement fait;517080198;777934;2406345
66;3522;SARL TECHNI-LAUZE - BOULARD Bernard;CARRIERE TECHNI-LAUZE LACHAMP;Montchiroux;;LACHAMP;48;Montchiroux;;LACHAMP;48100;LACHAMP;A;NS - NON SEVESO;En fonctionnement;40871005100017;682004;1956865
61;1905;CONSEIL GEN. DE LA HTE SAVOIE;CONSEIL GEN. DE LA HTE SAVOIE;LA COURTOISE;;ST JEOIRE;74;LA COURTOISE;;ST JEOIRE;74490;ST JEOIRE EN FAUCIGNY;;NS - NON SEVESO;A l'arrêt;859;918398;2134777
61;1651;OUVRIER BUFFET PAUL (SARL);OUVRIER BUFFET PAUL (SARL);LES GLIERES;;ST NICOLAS LA CHAPELLE;73;LES GLIERES;;ST NICOLAS LA CHAPELLE;73590;ST NICOLAS LA CHAPELLE;;NS - NON SEVESO;A l'arrêt;76720259;923498;2098577
58;286;CARRIERES DES TROIS VALLEES;C3V (ex GARCIA) C2;Lieu-dit La Corne du Cerf;;YVILLE SUR SEINE;76;Lieu-dit La Corne du Cerf;;;;;A;NS - NON SEVESO;En fonctionnement;39941651000010;494390;2491316
70;306;MRV (Carrières);MRV (Carrières);"""La Grande Pièce""";;MATRINGHEM;62;Chemin d'Ecouflans;;MATRINGHEM;62310;MATRINGHEM;A;NS - NON SEVESO;En fonctionnement;38341671600025;588066;2617091
64;1245;SABLIERES MODERNES DU VAUCLUSE;CARRIERE SMV LE LAMPOURDIER Orange ;Le Lampourdier;;ORANGE;84;Route de Tarascon;Pont de Rognonas;AVIGNON;84000;AVIGNON;A;NS - NON SEVESO;En fonctionnement;66262115000017;796171;1901599
100;2644;SMBP;SMBP - Moulin de Pierre;Le Moulin de Pierre;;PRASVILLE;28;Chemin des Vieilles Vignes;;BERCHERES LES PIERRES;28630;BERCHERES LES PIERRES;A;NS - NON SEVESO;En fonctionnement;31328282400017;554644;2365550
64;1262;CARRIERES DE PROVENCE;CARRIERE DE PROVENCE;Carrière d'Oppede;Les Petits Ribas - Coteaux de Blacouve;OPPEDE;84;Carrière d'Oppede;;OPPEDE;84580;OPPEDE;A;NS - NON SEVESO;En fonctionnement;;829628;1873248
59;1705;SOC CARR. DE MOISSEY;SOC CARR. DE MOISSEY;LA SERRE;;OFFLANGES;39;;;OFFLANGES;39290;OFFLANGES;NC;NS - NON SEVESO;A l'arrêt;36050136;843396;2250502
51;3171;OGIF;OGIF;LE GRAND BOSQUET;;PONT STE MAXENCE;60;BP 344;MORU;PONT STE MAXENCE;60700;PONT STE MAXENCE;;NS - NON SEVESO;A l'arrêt;2079;619455;2478178
62;3524;ROLLIN (sous les roches);ROLLIN (sous les roches);;;MARBACHE;54;;;MARBACHE;54820;MARBACHE;;NS - NON SEVESO;A l'arrêt;783356629;875782;2427733
63;805;CARRIERES MOUSSET SA (les Herbiers);CARRIERES MOUSSET SA (les Herbiers);LANDRAUDIERE;;LES HERBIERS;85;LANDRODIERES;;LES HERBIERS;85500;LES HERBIERS;A;NS - NON SEVESO;En fonctionnement;3159653270010;347355;2210372
61;1778;NICOLAS CHARLES;NICOLAS CHARLES;CHAMP LAYSSUS OUEST;;ETREMBIERES;74;CHAMP LAYSSUS OUEST;;PAS DE L ECHELLE;74100;ETREMBIERES;;NS - NON SEVESO;A l'arrêt;796470532;900098;2138077
55;2663;LAGADEC ET CIE S.A;LAGADEC ET CIE SA - Saint-Renan;KERASTANG;;ST RENAN;29;;;ST RENAN;29290;ST RENAN;A;NS - NON SEVESO;En fonctionnement;635820293;84072;2402705
63;1412;CARRIERE BLANLOEIL ;BLANLOEIL LA TOUCHE;LA TOUCHE;;VALLET;44;zi;;CLISSON;44190;CLISSON;A;NS - NON SEVESO;En fonctionnement;87180281500021;329215;2247658
61;1783;SARL DESCOMBES PERE ET FILS;SARL DESCOMBES PERE ET FILS;BOIS PANTHIN;;ETREMBIERES;74;BOIS PANTHIN;;PAS DE L ECHELLE;74100;ETREMBIERES;;NS - NON SEVESO;A l'arrêt;347811267;900098;2138077
67;272;ORSA GRANULATS ALSACE Kingersheim;ORSA GRANULATS ALSACE Kingersheim;GRUETHACKER MINEANNA;;KINGERSHEIM;68;;;KINGERSHEIM;68260;KINGERSHEIM;;NS - NON SEVESO;Récolement fait;383657228;974227;2322546
66;605;CARRIERE ROCAMAT MOULEZAN;CARRIERE ROCAMAT Moulezan;Visseau du Corbeau Combe Posada;;MOULEZAN;30;58 quai de la marine;;;;;A;NS - NON SEVESO;En fonctionnement;572086577;746030;1881464
61;1139;SOC CALAFI PHILIBERT & CIE;SOC CALAFI PHILIBERT & CIE;LES PETITS ECHARMAUX;;BELLEROCHE;42;LES PETITS ECHARMAUX;;BELLEROCHE;42670;BELLEROCHE;;NS - NON SEVESO;A l'arrêt;775643455;760098;2132077
61;1461;SNCF;SNCF;LA GRUMETTE;;RILLIEUX LA PAPE;69;LA GRUMETTE;;RILLIEUX LA PAPE;69140;RILLIEUX LA PAPE;;NS - NON SEVESO;A l'arrêt;424;798998;2094377
70;649;ETABLISSEMENTS BOCAHUT SAS.;ETABLISSEMENTS BOCAHUT SAS.;CAILLOIT;;GLAGEON;59;HAUT LIEU; BP 40051;AVESNES SUR HELPE;59362;AVESNES SUR HELPE CEDEX;A;NS - NON SEVESO;En fonctionnement;44542038300041;724750;2562972
61;287;CHAPELLE SA;CHAPELLE SA;LIT DE LA SAONE;;ST DIDIER SUR CHALARONNE;1;LIT DE LA SAONE;;ST DIDIER SUR CHALARONNE;1140;ST DIDIER SUR CHALARONNE;;NS - NON SEVESO;A l'arrêt;573780822;791498;2133877
61;680;Carrières E. PEYSSON;Carrières E. PEYSSON Oriol;LES BELLES;;ORIOL EN ROYANS;26;La Combe;;ST NAZAIRE EN ROYANS;26190;ST NAZAIRE EN ROYANS;A;NS - NON SEVESO;En fonctionnement;38112357900017;830547;2005344
64;233;CARRIERES DES GRANDS CAOUS;CARRIERE GRANDS CAOUS - Saint Raphaël;Boulouris;;ST RAPHAEL;83;Boulevard Delli-Zotti;;BOULOURIS;83700;ST RAPHAEL;A;NS - NON SEVESO;En fonctionnement;41971044700022;963650;1835940
59;4103;ROGER MARTIN SAS;ROGER MARTIN SAS;"Lieu-dit ""Le Grand Champoneau""";;NOROY LE BOURG;70;4 avenue Jean Bertin;B.P. 77971;DIJON;21079;DIJON CEDEX;A;NS - NON SEVESO;En fonctionnement;;896209;2299140
122;56;L2C (ex CONCASTRI);Les Carrieres Comtoises (L2C) ;"Lieu-dit ""Le Grand Champonneau""";;NOROY LE BOURG;70;9 route d'Audincourt;BP 13119 VOUJEAUCOURT;AUDINCOURT;25403;AUDINCOURT CEDEX;A;NS - NON SEVESO;En fonctionnement;438975047;895892;2298969
64;8088;GFA de Piercède;DECHETS GFA de Piercède;Le Mouruen;;SIGNES;83;Le Mouruen;;SIGNES;83870;SIGNES;;NS - NON SEVESO;Cessation déclarée;;879713;1814958
67;224;SAUTER auf den ensisheimerweg;SAUTER auf den ensisheimerweg;AUF DEN ENSISHEIMERWEG 38 rue d'Ensishei;ZERC2;BLODELSHEIM;68;;;BLODELSHEIM;68740;BLODELSHEIM;A;NS - NON SEVESO;En fonctionnement;915420657;987497;2333504
66;789;CARRIERE CHIFFE ET CIE;CARRIERE CHIFFE ET CIE Tornac;Le Mas Neuf;;TORNAC;30;;;;;;A;NS - NON SEVESO;En fonctionnement;30682000012150;730484;1894148
57;3316;GLG Holding (Aube Béton Carrières);GLG Holding (Aube Béton Carrières);;;ST LEGER SOUS BRIENNE;10;15 rue Jean Baptiste Colbert;;LA CHAPELLE ST LUC;10600;LA CHAPELLE ST LUC;;NS - NON SEVESO;En construction;;762281;2381648
58;260;DDE Sommery ;DDE Sommery ;BOIS DU PARC;;SOMMERY;76;;;SOMMERY;76440;SOMMERY;;NS - NON SEVESO;A l'arrêt;781121462;535200;2515600
51;3277;SICA PICARDIE ALIMENTAIRE;SICA PICARDIE ALIMENTAIRE;LE BOIS DE ST LADE;;WARLUIS;60;225 RUE ST HONORE;;PARIS 16;75116;PARIS;;NS - NON SEVESO;A l'arrêt;722044476;603361;2487316
61;1643;CLARAZ EYNARD CARRIERES ;CLARAZ EYNARD CARRIERES ;LA CONTAMINE EN HAUT;;ST MARCEL;73;LA CONTAMINE EN HAUT;;ST MARCEL;73600;ST MARCEL;;NS - NON SEVESO;A l'arrêt;76720200;930398;2065677
58;2998;EARL FLEURY;EARL FLEURY;Hameau Patis;;MONTREUIL EN CAUX;76;;;MONTREUIL EN CAUX;76850;MONTREUIL EN CAUX;D;NS - NON SEVESO;En fonctionnement;38353059900018;514384;2521507
182;237;SAS POSOCCO ;Carriere POSOCCO Sté à GRAMAZIE;"Lieux-dits ""Escarguel"" et "" Les Mourrals";;GRAMAZIE;11;29, rue Trivalle;;VILLALBE;11000;CARCASSONNE;;NS - NON SEVESO;En construction;6518503490010;580817;1792844
56;548;LHOIST FRANCE CENTRE ET SUD OUEST;LHOIST FRANCE CENTRE ET SUD OUEST;Puy Clermont-Pré de la Batis;;GANNAT;3;Le Puy Clermont;BP 70;GANNAT;3800;GANNAT;A;NS - NON SEVESO;En fonctionnement;81602028300072;665381;2120548
70;351;Carrière de M. CANESSON René;Carrière de M. CANESSON René;LES VINGT;;QUOEUX HAUT MAINIL;62;CARRIERE DE MARNE;;QUOEUX HAUT MAINIL;62390;QUOEUX HAUT MAINIL;;NS - NON SEVESO;A l'arrêt;30153888000016;583654;2589296
62;3592;HAMEL (Haut du feys);HAMEL (Haut du feys);;;VILLACOURT;54;;;VILLACOURT;54290;VILLACOURT;;NS - NON SEVESO;A l'arrêt;326;894603;2389361
100;3536;ENTR AMIOT;ENTR AMIOT;CARRIERES THORIGNY;;BACCON;45;;;BACCON;45130;BACCON;;NS - NON SEVESO;A l'arrêt;;545272;2318679
61;1564;GRA;GRA (A l'arret Gilly sur Isere);PETITS LOTS DE GILLY;;GILLY SUR ISERE;73;PETITS LOTS DE GILLY;;GILLY SUR ISERE;73200;GILLY SUR ISERE;;NS - NON SEVESO;A l'arrêt;302939095;913432;2080469
100;2412;COCHERY BOURDIN ET CHAUSSE;COCHERY BOURDIN ET CHAUSSE;LES RONCES;;PREUILLY;18;;;PREUILLY;18120;PREUILLY;;NS - NON SEVESO;A l'arrêt;;587849;2232848
61;404;SOC EXPL CARR ST MAIME;SOC EXPL CARR ST MAIME;LE PATIS;;GRAS;7;LE PATIS;;GRAS;7700;GRAS;;NS - NON SEVESO;A l'arrêt;310801717;775638;1940678
61;1175;CHIAVERINA ETS SARL;CHIAVERINA;535, rue du Pont;;COMMELLE VERNAY;42;535, rue du Pont;BP 19;COMMELLE VERNAY;42120;COMMELLE VERNAY;A;NS - NON SEVESO;En fonctionnement;319038253;732629;2112225
100;2950;ST  CARRIERES MAINE ET LOIRE;ST  CARRIERES MAINE ET LOIRE;LIT DE LOIRE RG;;BERTHENAY;37;;;BERTHENAY;37510;BERTHENAY;;NS - NON SEVESO;A l'arrêt;66480041400107;462817;2263495
59;1746;POFILET SA (Aillevans Champs);POFILET SA (Aillevans Champs);Champs derrière Bois;;AILLEVANS;70;;;AILLEVANS;70110;AILLEVANS;;NS - NON SEVESO;A l'arrêt;318070935;906759;2295778
58;2209;Commune d'Igoville;Commune d'Igoville;;;IGOVILLE;27;;;IGOVILLE;27460;IGOVILLE;;NS - NON SEVESO;A l'arrêt;;514010;2481427
61;1112;LOPRETE JOSEPH;LOPRETE JOSEPH;LES SITIVES;;VERNAS;38;LES SITIVES;;VERNAS;38460;VERNAS;;NS - NON SEVESO;Récolement fait;779630565;827880;2090699
61;990;GCIA;GCIA;LE GABOT;;ROVON;38;LE GABOT;;ROVON;38470;ROVON;A;NS - NON SEVESO;En fonctionnement;39086188800019;845100;2026217
61;1804;MAIRIE DU GRAND BORNAND;MAIRIE DU GRAND BORNAND;LA PLACE;;LE GRAND BORNAND;74;LA PLACE;;LE GRAND BORNAND;74450;LE GRAND BORNAND;;NS - NON SEVESO;A l'arrêt;776580060;916998;2112877
100;2376;RANVIER GASTON;RANVIER GASTON;LES DAGES;;MEHUN SUR YEVRE;18;;;MEHUN SUR YEVRE;18500;MEHUN SUR YEVRE;;NS - NON SEVESO;A l'arrêt;;591159;2238397
54;763;CARRIERES MEN ARVOR;CARRIERES MEN ARVOR (ex. COELHO NOGENT);;;CRUZY LE CHATEL;89;;;CRUZY LE CHATEL;89740;CRUZY LE CHATEL;A;NS - NON SEVESO;En fonctionnement;404125544;738569;2320411
61;209;DRAGAGES DE L'AIN;DRAGAGES DE L'AIN;SUR LA FAUGE;;MARTIGNAT;1;SUR LA FAUGE;;MARTIGNAT;1100;MARTIGNAT;;NS - NON SEVESO;A l'arrêt;999901006;852298;2139477
63;439;BAGLIONE (Averton - Le Tertre);BAGLIONE (Averton - Le Tertre);"""Le Tertre""";;AVERTON;53;29, route des Eaux;BP 70235;VITRE;35502;VITRE CEDEX;;NS - NON SEVESO;A l'arrêt;679200170;409332;2376487
56;540;PINEL JEAN FRANCOIS;PINEL JEAN FRANCOIS;Les Bagnettes;;EBREUIL;3;14 rue des jacquets;;EBREUIL;3450;EBREUIL;A;NS - NON SEVESO;En fonctionnement;97592015800014;657551;2125043
61;1204;MAIRIE DE LENTIGNY;MAIRIE DE LENTIGNY;CHAMORLAND;;LENTIGNY;42;CHAMORLAND;;LENTIGNY;42155;LENTIGNY;;NS - NON SEVESO;A l'arrêt;776316101;727198;2111877
59;2665;GRANULATS DE FRANCHE COMTE;GRANULATS DE FRANCHE COMTE;"Lieu-dit ""La Côte de Froy""";;BANVILLARS;90;Route de Saint Loup;;FAVERNEY;70160;FAVERNEY;A;NS - NON SEVESO;En fonctionnement;48286513600014;935157;2297655
68;9368;SABOULARD;SABOULARD;"""Lamourette"" et ""Loumagne""";;MARTRES TOLOSANE;31;73 route des Pyrénées;;MARTRES TOLOSANE;31220;MARTRES TOLOSANE;;NS - NON SEVESO;En construction;54688011300024;490868;1801070
67;297;GRAVIERE DE NIEDERHERGHEIM;GRAVIERE DE NIEDERHERGHEIM;GROSSER PLON;ZERC2;NIEDERHERGHEIM;68;;;NIEDERHERGHEIM;68127;NIEDERHERGHEIM;A;NS - NON SEVESO;En fonctionnement;412112617;980659;2343127
63;6382;GUILLOTEAU TP;CARRIERE GUILLOTEAU Peignerie;La Peignerie;;LA CHAPELLE ST SAUVEUR;44;La Peignerie;;LA CHAPELLE ST SAUVEUR;44370;LA CHAPELLE ST SAUVEUR;A;NS - NON SEVESO;En fonctionnement;;349932;2276550
55;2177;MEUROU SARL;MEUROU SARL;KERBULUET;;GOUDELIN;22;SARL MEUROU;ZA de Keribat;GOUDELIN;22290;GOUDELIN;A;NS - NON SEVESO;En fonctionnement;436842330;204102;2414910
64;5277;PERASSO SNC;CARRIERE PERASSO -Vinon/Verdon;les iscles de notre dame;;VINON SUR VERDON;83;1 chemin du Vallon de Toulouse St Tronc;BP 542;MARSEILLE 10;13422;MARSEILLE CEDEX 10;A;NS - NON SEVESO;En fonctionnement;;877511;1866284
62;3871;SATRA (au Domaine);SATRA (au Domaine);;;ARRY;57;;;ARRY;57680;ARRY;;NS - NON SEVESO;A l'arrêt;769800426;872230;2450311
61;361;DANNENMULLER THIERRY;DANNENMULLER THIERRY;LES BAISSES;;VIRIAT;1;LES BAISSES;;VIRIAT;1440;VIRIAT;;NS - NON SEVESO;A l'arrêt;756102307;821898;2143377
100;3714;SNB  (Sté Nouvelle de Ballastières);SNB  (Sté Nouvelle de Ballastières);Autel Patrie - Reignellerie;;ST BENOIT SUR LOIRE;45;1 rue Vasco de Gamma;;ST BENOIT SUR LOIRE;45730;ST BENOIT SUR LOIRE;;NS - NON SEVESO;A l'arrêt;;597763;2312330
67;2812;SAUTER obere tiergaerten;SAUTER obere tiergaerten;OBERE TIERGAERTEN;;BLODELSHEIM;68;OBERE TIERGAERTEN;;BLODELSHEIM;68740;BLODELSHEIM;A;NS - NON SEVESO;Récolement fait;42056163100011;988090;2332998
66;776;METGE GRATIEN;METGE GRATIEN;;;SUMENE;30;;;;;;;NS - NON SEVESO;A l'arrêt;;710791;1887523
61;1837;SOCAVA;SOCAVA;COMMUNAL D^ANTERNE;;MARIGNIER;74;COMMUNAL D^ANTERNE;;MARIGNIER;74970;MARIGNIER;;NS - NON SEVESO;A l'arrêt;606320752;921698;2129577
51;6892;Domaine St LAMBERT;Domaine St LAMBERT;Domaine St Lambert;BP 15;FOURDRAIN;2;4 place de la Mairie;BP 15;LANISCOURT;2000;LANISCOURT;NC;NS - NON SEVESO;En fonctionnement;;680477;2514731
62;4163;CANTRELLE Saulcy s/Meurthe;CANTRELLE Saulcy s/Meurthe;Calapré;;SAULCY SUR MEURTHE;88;45 avenue de Bellefontaine;B.P. 2;ETIVAL CLAIREFONTAINE;88480;ETIVAL CLAIREFONTAINE;A;NS - NON SEVESO;En fonctionnement;50618018100014;943270;2370360
67;195;HOLCIM (France) (carrière);HOLCIM (France) (carrière);STEINGRUBE;;ALTKIRCH;68;RTE DE THANN;;ALTKIRCH;68130;ALTKIRCH;A;NS - NON SEVESO;En fonctionnement;37731706700151;968382;2303912
54;191;SOCOVAL;SOCOVAL (ex SOCALCOR) Marsannay le Bois;Le Dessus de la Brulée;;MARSANNAY LE BOIS;21;Route de Savigny-le-Sec;;MARSANNAY LE BOIS;21380;MARSANNAY LE BOIS;A;NS - NON SEVESO;En fonctionnement;304733710;806312;2273970
61;134;PELICHET ALBERT S.A.;PELICHET ALBERT S.A.;LA GRAZ;;FARGES;1;LA GRAZ;;FARGES;1550;FARGES;;NS - NON SEVESO;A l'arrêt;764200051;875398;2136277
56;1422;SEMONSAT FILS;SEMONSAT FILS SARL Ferme de Rouzat;Ferme de Rouzat;;GANNAT;3;30, rue Maurice Barroin;;GANNAT;3800;GANNAT;A;NS - NON SEVESO;En fonctionnement;3977020064;664499;2121596
100;2828;ENT JEAN LEFEBVRE;ENT JEAN LEFEBVRE;LE COURBAS;;LE PECHEREAU;36;;;LE PECHEREAU;36200;LE PECHEREAU;;NS - NON SEVESO;A l'arrêt;;539668;2174950
162;65;MONNERON CARRIERES SAS ;MONNERON - les cotes chanzac;les côtes de chanzac;;STE ANASTASIE;15;LAPRADE;;NEUSSARGUES MOISSAC;15170;NEUSSARGUES MOISSAC;D;NS - NON SEVESO;En fonctionnement;53678001800027;648566;2020807
126;515;Mairie;Mairie (Petit Noir);;;PETIT NOIR;39;;;PETIT NOIR;39120;PETIT NOIR;A;NS - NON SEVESO;A l'arrêt;21390415400019;828893;2218577
63;248;CAILLEAU YVON ;CAILLEAU YVON Durtal;LA LANDE MARTIN;;DURTAL;49;5 rue du Bazouge;BP 9;LES RAIRIES;49430;LES RAIRIES;A;NS - NON SEVESO;En fonctionnement;40848615700014;406530;2296354
59;1762;LONGHI MARC;LONGHI MARC;La Boisserie;;AUTREY LES GRAY;70;;;AUTREY LES GRAY;70100;AUTREY LES GRAY;;NS - NON SEVESO;A l'arrêt;311748735;837675;2281026
62;3868;CEREDA (varinfontaine);CEREDA (varinfontaine);VARINFONTAINE;;WOIMBEY;55;;;WOIMBEY;55300;WOIMBEY;;NS - NON SEVESO;A l'arrêt;487320160;828121;2445181
70;3523;CARLIER (SARL);CARLIER (SARL);1 route de Cléty;;DOHEM;62;1 route de Cléty;;DOHEM;62380;DOHEM;A;NS - NON SEVESO;Récolement fait;42940968300019;587833;2625828
54;433;BEZILLE SAS;BEZILLE SAS;L'Escame;;SERMAGES;58;;;SERMAGES;58290;SERMAGES;A;NS - NON SEVESO;En fonctionnement;691880157;712515;2223077
63;3996;Terres Cuites des Rairies;TERRES CUITES DES RAIRIES Bellegarde;BELLE GARDE;;DURTAL;49;route de Fougeré;;LES RAIRIES;49430;LES RAIRIES;A;NS - NON SEVESO;En fonctionnement;30646108800016;406441;2295867
62;5747;SABLIERES DE LA MEURTHE Rosières;SABLIERES DE LA MEURTHE Rosières;Le Haut Pâquis-Les Grands Pâquis-;A l'Atrie-Le Gué Breno;ROSIERES AUX SALINES;54;ROUTE DE CONTOURNEMENT;BP 25;ROSIERES AUX SALINES;54110;ROSIERES AUX SALINES;;NS - NON SEVESO;Récolement fait;;895125;2406807
51;6066;EARL DES BUISSONS;EARL DES BUISSONS;"LIEUDIT ""Les Chaînes""";;BEAUMONT HAMEL;80;"LIEUDIT ""Les Chaînes""";;BEAUMONT HAMEL;80300;BEAUMONT HAMEL;D;NS - NON SEVESO;En construction;;623199;2564583
51;3510;DELTA COOP SCA;DELTA COOP SCA;LES PHOSPHATIERES;;NURLU;80;7 PLACE DU GENERAL DE GAULLE;;ALBERT;80300;ALBERT;;NS - NON SEVESO;Récolement fait;351108980;648975;2556913
56;1296;MALLET SA;"MALLET SA (Volvic ""Graniers"" Pyrolave)";LES GRANIERS;;VOLVIC;63;33, route du Cratère;;VOLVIC;63530;VOLVIC;A;NS - NON SEVESO;En fonctionnement;775637309;651511;2095642
