Identifiant	Nom	N° Siret	Département	CP	Commune	N° Gidic	X-Lambert-93	Y-Lambert-93	Année début	Année fin	Activité	Raison sociale	Date fin arrêté	Substance	Année1	Année2	Explosifs
																	
268	LHOTELLIER		80	80618	PENDE		597861.48	7009886.78	1990	2005	Non	CARRIERES DU CENTRE MANCHE	29 12 2003				
740	Pétoreau, Champ Luneau, L'Ouche de Chez Moreau		17	17266	LES NOUILLERS	072.05920	418795.92	6543448.25	1991	2006	Non	SEC-TP	31 12 2025	Roche calcaire	1991	2006	
837	Les Mauds		17	17444	THENAC	072.01932	413442.69	6514507.54	1992	2022	Non	CTS SA CARRIERES DE THENAC ET SAINTONGE	30 09 2003	Calcaire crayeux	1992	2022	
862	Le Taupier Sud, Les Nouves		17	17243	MONTLIEU-LA-GARDE	072.00882	442890.78	6462764.69	1985		Non	SOCIETE DES ARGILES ET MINERAUX AGS	16 04 2000	Kaolinite	1985	2000	
882	La Croix de Nadeau		17	17167	LE FOUILLOUX	072.01727	453338.82	6460686.54	2000	2015	Oui	AGS-BMP	31 01 2015	Kaolinite	2000	2015	
893	Bois de Chazelle		17	17386	SAINT-PIERRE-DU-PALAIS		453572.69	6455048.05	1976	1979	Non	AGS	30 09 2003	Kaolinite			
901	Les Vats		14	14001	ABLON	053.00064	503118.50	6926133.05	1981	2008	Non	LE FOLL	27 02 1998	Craie	1981	2007	
909	Le Mont Tornu		14	14074	BILLY	053.00057	467695.44	6893301.53	1976	2030	Oui	CGB CARRIERES DE BILLY LE BARON JEAN FRANCOIS	04 05 2030	Roche calcaire	1976	2029	
911	Les Aucrais Site 2		14	14145	CAUVICOURT	053.00056	461100.54	6887115.17	1990	2028	Oui	CARMEUSE FRANCE GSM REGION SEINE LITTORAL	14 05 2028	Roche calcaire	1973	2027	
913	Fours à chaux		14	14194	COURTONNE-LES-DEUX-EGLISES	053.00046	510169.17	6889545.31	1973	2033	Oui	CARBONATES DE CHAUX	12 01 2034	Marne	1973	2033	
916	Les Pérelles		14	14228	DOUVRES-LA-DELIVRANDE	053.00053	453217.95	6914262.36	1993	2015	Non	LE TELLIER	30 11 1998	Roche calcaire	2005	2015	
921	Dialan		14	14347	JURQUES	053.00075	426442.12	6884132.91	1974	2034	Oui	LE FOLL LES PIERRES DE DIALAN SOCIETE MINIERE ET INDUSTRIELLE DU SMIR ROUGE	02 04 2034	Quartzite	1974	2034	1 Internet
924	DAVID		50	50525	SAINT-MICHEL-DE-MONTJOIE	053.01380	404074.88	6859065.68	1975	2003	Non	ETABLISSEMENTS DAVID	10 10 2003	Granite, granodiorite, etc			
925	La Cote Ronde		14	14460	MOYAUX		509566.27	6904832.01	1983	1998	Non	CHARLES PHILIPPE	11 04 1998	Marne			
931	Osmanville		14	14480	OSMANVILLE		403495.56	6922086.39	1992	2002	Non	SOCIETE DE CARRIERES DE TERRASSEMENT ET D'AMENAGEMENT (FILIALE TOFFOLUTTI)	09 01 2002	Roche calcaire	1992	2002	
936	La Salmonière		14	14559	SAINT-AUBIN-DES-BOIS		395130.16	6866187.31	1989	2004	Non	BEAUFILS	04 06 1996	Schiste	1989	2004	
941	Carrière de Vignats		14	14751	VIGNATS	053.00074	472748.63	6864614.01	1972	2031	Oui	SOCIÉTÉ DES CARRIÈRES DE VIGNATS REDLANDS GRANULATS NORD BALLASTIERES DE TRAVECY VASCO GOBETTA CARRIERES DE LA MEILLERADE	10 07 2031	Quartzite	1974	2031	1 discri
943	La Vache enragée		14	14088	BONS-TASSILLY		464114.32	6877867.69	1900		Non	MUSTIERE	16 05 2005	Roche calcaire			
947	Bretteville sur Laize		14	14160	CINTHEAUX	053.00059	458110.74	6889731.51	1995	2005	Non	ROSSI ROSSI	01 01 2000	Roche calcaire	1995	2004	
950	Les Grandes Carrières		14	14480	OSMANVILLE	053.00055	402582.18	6922296.34	1992	2002	Non	GIRARD ET FOSSEZ ET CIE SOCIETE DE CARRIERES DE TERRASSEMENT ET D'AMENAGEMENT	12 09 2001	Roche calcaire	1992	2001	
953	Les Fours à Chaux		14	14013	ANGOVILLE		452828.51	6877625.68	1993		Non	TP TINEL (SNC)	20 04 1993	Roche calcaire	1993	1993	
963	La Galoberie	37585034400116	50	50179	FERRIERES	053.01344	407919.34	6833260.79	1975	2019	Oui	CARRIERES DES 3 VALLEES PATRICK FOUCHER MAIGNAN MAURICE	10 10 2019	Schiste	1988	2019	
964	S.A. CARRIERES LEROUX-PHILIPPE		50	50196	GATTEVILLE-LE-PHARE	053.01336	390920.90	6963223.51	1989	2004	Non	CARRIERE LEROUX PHILIPPE	30 05 2004	Granite, granodiorite, etc	1989	2004	
966	Les Vallées		50	50037	LA BAZOGE	053.01350	404239.16	6846138.63	1972	2013	Oui	JOEL HARDY COQUEMONT JOSEPH	02 10 1991	Schiste	1989	2013	1 Internet DA
968	Le Moulin Richard	38809979800026	50	50217	LE GRAND-CELLAND	053.01353	392022.46	6852644.08	1973	2015	Oui	LTP LOISEL S.A. SOCIÉTÉ D'EXPLOITATION D'ENTRPRISE DE TP	18 02 2015	Schiste	1973	2015	
970	de Liesville		14	14137	CARPIQUET		448897.83	6904178.53	1993	1993	Non	ENTREPRISE MASTELLOTTO	29 09 1993	Roche calcaire	1993	1993	
975	La Vassière	35315617700027	50	50354	MONTSURVENT	053.01364	370699.83	6899213.36	1973	2038	Oui	CARRIERE BAUDOUIN BAUDOUIN	12 02 2008	Schiste	1973	2037	
980	La Jugannière		50	50409	PONT-HEBERT	053.01369	396607.05	6901296.50	1976	2029	Oui	SOCIÉTÉ L'HERMITTE	02 07 2029	Schiste	1976	2029	
981	Mont Canel		50	50414	PRECORBIN	053.01370	411093.41	6895503.62	1973	2033	Oui	GRENTE YVETTE GRENTE MARCEL	10 03 2033	Schiste	1973	2033	
982	CLEMENT BERNARD		50	50449	SAINT-AUBIN-DU-PERRON		380497.99	6902147.41	1984	1994	Non	CLEMENT BERNARD	28 06 1994	Schiste			
984	CHEMINANT ROGER		50	50487	SAINT-JAMES	053.01375	381973.84	6831386.44	1981	2001	Non	CHEMINANT ROGER	31 03 2001	Granite, granodiorite, etc			
985	SOCIETE LAINE S.A.		50	50487	SAINT-JAMES	053.01376	380942.28	6834457.56	1993	2003	Non	LAINE S.A.	24 01 2003	Schiste	1993	2003	
986	BRUNEL EUGENE		50	50515	SAINT-MARTIN-DE-LANDELLES	053.01377	390691.74	6834390.47	1983	2003	Non	BRUNEL EUGENE	23 01 2003	Granite, granodiorite, etc	1983	2003	
987	JOSEPH RALLIER		50	50515	SAINT-MARTIN-DE-LANDELLES	053.01378	391934.57	6833809.49	1988	2003	Non	JOSEPH RALLIER	26 01 2003	Granite, granodiorite, etc	1988	2003	
989	Chaillou	33188822200022	50	50525	SAINT-MICHEL-DE-MONTJOIE	053.01379	403527.31	6860096.20	1975	2035	Oui	SOCIETE D'EXPLOITATION DES CARRIERES DE MONTJOIE CHATEL CLAUDE SOCIÉTÉ DES CARRIÈRES DE MONTJOIE ET GRANIT BLEU DE VIRE	11 08 2035	Granite, granodiorite, etc	1975	2030	
991	HENRI LEVAVASSEUR		50	50066	JULLOUVILLE		365665.60	6860644.77	1993	1993	Non	HENRI LEVAVASSEUR	29 09 1993	Granite, granodiorite, etc			
992	Le Haut Pignon		50	50540	SAINT-PIERRE-LANGERS	053.01382	372153.94	6862581.54	1984	2009	Oui	CLAUDE RENARD	09 01 2009	Granite, granodiorite, etc	1984	2009	
993	JACQUES SEMERY		50	50540	SAINT-PIERRE-LANGERS	053.05028	371947.56	6862515.05	1974	1994	Non	JACQUES SEMERY	26 06 1994	Granite, granodiorite, etc			
994	Les Vaux de l'Allemagne	406950030	50	50540	SAINT-PIERRE-LANGERS	053.01381	370948.10	6862320.27	1975	2012	Oui	GRANULATS DE BASSE NORMANDIE SOCIETE D'EXPLOITATION DES CARRIERES SOURDINES	28 08 2012	Granite, granodiorite, etc	1975	2012	
995	BLIN BERNARD		50	50542	SAINT-POIS	053.01383	401445.12	6859870.98	1973	2003	Non	BLIN BERNARD	02 11 2003	Granite, granodiorite, etc			
1001	La Croix Petit Homme		50	50577	SORTOSVILLE-EN-BEAUMONT	053.01372	357795.46	6934444.94	1979	1999	Non	COMMUNE DE SORTOSVILLE-EN-BEAUMONT	19 03 1999	Schiste	1979	1999	
1002	La Bottinière	33146781100013	50	50592	TESSY-SUR-VIRE	053.05181	402732.97	6883228.16	1974	2014	Oui	LES CARRIERES DE TESSY ROBBES ROGER	14 11 2014	Schiste	1974	2014	
1004	SOCIETE NOUVELLE PIERRE BODIN		50	50648	YVETOT-BOCAGE		372032.85	6941900.23	1991	2001	Non	SOCIETE NOUVELLE PIERRE BODIN	30 05 2001	Roche calcaire	1991	2001	
1011	Apilly	32787748600081	50	50554	SAINT-SENIER-SOUS-AVRANCHES	053.01385	380894.44	6852248.48	1973	2016	Oui	LAINE S.A.	06 01 2016	Schiste	1973	2016	
1013	Le Varolay	32787748600107	50	50452	SAINT-BRICE-DE-LANDELLES	053.01373	396473.13	6836999.88	1975	2033	Oui	LAINE S.A.	13 03 2033	Cornéenne	1975	2033	
1015	La Jaunais	40695003000063	50	50069	BOURGUENOLLES	053.01334	385574.43	6864502.96	1977	2033	Oui	GRANULATS DE BASSE NORMANDIE SOCIETE D'EXPLOITATION DES CARRIERES SOURDINES	12 03 2033	Schiste	1977	2033	
1017	Le Mont Rogneux		50	50341	MONTEBOURG	053.01363	381743.90	6942663.95	1974	2031	Oui	CARRIERE LEROUX PHILIPPE SNEH SOCIÉTÉ DES CARRIÈRES DU COTENTIN	02 07 2031	Quartzite	1974	2031	
1019	Les Costils	340390129	50	50203	LA GLACERIE	053.01351	369976.09	6956815.08	1990	2010	Oui	SCHISTES BLEUS DU COTENTIN	22 01 2010	Schiste	1990	2010	1 discri
1026	Port Pignot	65265018500018	50	50178	FERMANVILLE	053.01343	378005.28	6963965.91	1973	2003	Non	CARA & FERREY	24 08 2003	Granite, granodiorite, etc	1973	2003	
1028	S.A. CALCIA		50	50194	FRESVILLE	065.06618	382110.29	6935714.84	1993	2002	Non	CALCIA	20 12 2002	Roche calcaire	1993	2002	
1034	Le Petit Moulon		61	61005	APPENAI-SOUS-BELLEME	053.02811	518498.15	6808141.09	1985	2010	Oui	TRIFAULT EXPLOITATION DE CARRIÈRES DAGONEAU	28 08 2010	Roche calcaire	1985	2010	
1041	Les Sablonnières	77557603600484	61	61153	ECOUCHE	053.02365	470289.89	6849769.80	1973	2029	Oui	MEAC CHAUX ET ENGRAIS	06 07 2029	Roche calcaire	1973	2029	
1042	La Sablonnière		61	61159	FAY	053.02819	508257.03	6842545.56	1988	2006	Non	ZUNINO SA	24 10 2006	Roche calcaire	1989	2006	
1051	Le Plessis	45156671500012	61	61357	ROUPERROUX	053.02829	471103.62	6832556.99	1973	2026	Oui	CARRIÈRE DE ROUPERROUX CARRIÈRES ET BALLASTIÈRES DE NORMANDIE LE TORRIELLEC MARCEL & CIE	17 09 2026	Ignimbrite 	1973	2026	1 Internet RD
1052	Bellevue	30764021900019	61	61404	SAINT-HILAIRE-LE-CHATEL	053.02831	516783.92	6829522.91	1977	2013	Oui	ZUNINO SA	23 10 2013	Roche calcaire	1977	2013	
1053	La Souffletière		61	61426	SAINT-MARTIN-DU-VIEUX-BELLEME	053.02832	518529.41	6808866.27	1900		Non	PARIS ROBERT	16 05 2005	Roche calcaire			
1055	Le Plafond	37585034400025	61	61407	SAINTE-HONORINE-LA-CHARDONNE	053.02781	441940.08	6865560.39	1982	2004	Oui	CARRIERES DES 3 VALLEES GARCIA FRERES	01 01 3000	Cornéenne			1 Internet
1057	La Grovas		61	61471	SERIGNY		521006.88	6812220.83	1900		Non	ZUNINO SA	01 01 2000	Roche calcaire			
1058	Les Rondes Noës		61	61486	TINCHEBRAY	053.02834	424442.69	6857352.24	1974	2025	Oui	CARRIERES DES 3 VALLEES PATRICK FOUCHER	12 04 2025	Cornéenne	1974	2025	
1061	Croche Meslier		61	61207	IGE	053.02821	517525.00	6807648.39	1984	2010	Oui	CARLIER EMILE EUGÈNE	27 06 2010	Roche calcaire	1984	2010	
1327	Porte Fâche		17	17396	SAINT-SAUVEUR-D'AUNIS	072.00512	400749.90	6578213.28	1990	2016	Oui	GRANULATS DE CHARENTE-MARITIME CARRIERES D'EXIDEUIL SCREG	02 05 2016	Roche calcaire	1990	2016	
1445	Isle de Houallee		44	44055	LA BAULE-ESCOUBLAC	063.00042	294178.39	6703519.42	1976	2006	Non	MACE T.P.	21 01 2008	Autres substances - indéterminées	1976	2006	
7624	Aux carrières		80	80198	CLAIRY-SAULCHOIX		640163.81	6972642.93	1988	1998	Non	COOPERATIVE AGRICOLE DE BROYAGE DE CRAIE	20 05 1988	Craie	1988	1998	
7795	Sole du Chemin de Berny et de l'Epine		80	80353	FRESNES-MAZANCOURT	051.03439	690229.90	6973218.59	1987	2016	Oui	COOPERATIVE AGRICOLE DE BROYAGE DE CRAIE	15 10 2016	Craie	1990	2016	
10792	le bois des fontaines		80	80512	MAREUIL-CAUBERT		616480.53	6996721.08	1972	1990	Non	M. DUBUS-RIGNAULT GÉRARD	26 02 1990	Craie	1972	1984	
10810	bois cailloux		80	80417	HARBONNIERES		676178.30	6973852.65	1981	1987	Non	CABC	15 07 1987	Craie	1981	1987	
10985	En Face du Château		80	80172	CAPPY	051.03805	683013.40	6980843.30	1999	2012	Oui	PIERRES DE CAPPY CARRIERES DE LA REGION PARISIENNE	16 07 2012	Craie	1999	2012	
11041	Au dessus des terrettes		80	80183	CERISY-BULEUX		609400.13	6986024.79	1994	2004	Non	VUYGE BERNARD	01 01 2000	Craie	1994	2004	
11054	Au Bois de Nanteuil		80	80172	CAPPY	051.03343	684967.33	6981198.03	1985	2012	Oui	BOUFFEL TP CROS	04 08 2012	Craie	1985	2012	
11991	Montagne du bois Amingard		80	80445	HUMBERCOURT		659806.58	7013005.41	1980	1985	Non	M. LAMBERT MICHEL	18 09 1985	Craie	1980	1985	
12102	LES PHOSPHATIERES		80	80601	NURLU	051.02417	700037.11	6987914.08	2003	2023	Oui	COVED NORD ET ILE-DE-FRANCE	04 03 2023	Craie	1981	2023	
12413	Le val Mignon		80	80537	MESNIL-DOMQUEUR		631777.73	7004486.90	1973	1984	Non	MAIRIE MESNIL DOMQUEUR	25 02 1994	Marne	1973	1984	
12435	Sole vers Curlu		80	80428	HEM-MONACU		687846.59	6984220.28	1987	1993	Non	M. BARLOY PIERRE	01 01 2000	Phosphate (Apatite)	1987	1993	
33184	La Bergue		62	62141	BLESSY	colin	652010.76	7057035.91	1998	2013	Oui	DELANNOY	20 08 2013	Marne	1998	2013	
33879	Le Moulinel		59	59126	CANTIN	070.00020	707988.64	7024355.02	1974	2013	Oui	CALCIA CIMENTS FRANCAIS (ITALCEMENTI GROUP)	18 02 2013	Craie	1974	2013	
37770	CARTE DE NANCY		54	54357	MAXEVILLE		932565.28	6850254.55		1984	Non	SOLVAY		Roche calcaire			1 Internet
40947	La Roche aux Moines		85	85306	XANTON-CHASSENON	063.00868	414588.88	6597694.79	1998	2003	Non	ARNAUD	01 01 2000	Roche calcaire			
42735	La Ferronnière		44	44054	ERBRAY	063.00040	377897.64	6736433.84	1973	2023	Oui	MEAC	06 09 2023	Roche calcaire	1973	2023	
43374	Les Pièces		44	44029	LA CHAPELLE-BASSE-MER	063.00030	373256.80	6698054.86	1976	2005	Non	CARRIERESLES ROCHES DE LA DIVATTE CHENAIS-GARNIER	07 05 2008	Schiste	1976	2005	
43492	La Faubretière et Les Rocherons		44	44070	LA HAIE-FOUASSIERE	063.00062	364549.11	6682206.86	1974	2033	Oui	CHARIER GRATON FRERES	12 12 2033	Gneiss	1973	2033	1 Internet
43515	Le Pâtis		44	44216	VIEILLEVIGNE		368388.97	6665109.48	2005		Non	COLAS CENTRE OUEST	01 01 2000	Gneiss			
43520	Sem		44	44137	PRINQUIAU	063.00095	318873.47	6707456.89	1977	2010	Oui	CARRIERES DE CAMPBON CHARIER	30 08 2010	Gneiss	1977	2010	
43524	Le Padé	35263436400017	44	44025	CAMPBON	063.00025	326502.28	6711545.92	1991	2021	Oui	CARRIERES DE CAMPBON	26 04 2020	Gneiss	1991	2020	
43545	Les Gates		44	44025	CAMPBON	063.00024	325810.84	6715705.21	1976	2006	Non	VILAIN PERE ET FILS	08 06 2008	Dolomie	1977	2006	
43858	La Clarté	34767015000015	44	44072	HERBIGNAC	063.00063	302572.98	6724979.95	1973	2025	Oui	CHARIER CARRIERES ET MATERIAUX	20 01 2040	Granite	1973	2039	1 Internet
43862	Bréhet	00658030200021	44	44211	LA TURBALLE	063.00137	286587.80	6707835.08	1974	2009	Non	ENTREPRISE BERTHAUD	06 03 2004	Granite	1974	2004	
43883	Les Roches Bleues		44	44097	MESQUER	063.01632	285485.17	6712502.73	1975	2005	Non	VIAUD MOTER VIAUD	31 03 2008	Schiste	1975	2005	
44275	La Recouvrance		44	44027	CASSON	063.01031	356294.45	6709413.03	1972	2025	Oui	BAGLIONE BRINGER ET TONDUT	05 07 2025	Gneiss	1972	2025	
44300	Les Maraîchères		44	44020	BOUGUENAIS	063.00020	350121.10	6683867.41	1976	2026	Oui	LAFARGE GRANULATS OUEST CARRIÈRES DE L'ESTUAIRE CARRIERES DES MARAICHERES	29 11 2026	Gneiss	1976	2026	
44303	Roche Ballue CARTE DE NANTES		44	44020	BOUGUENAIS		347847.60	6686277.94		1977	Non		01 01 2000				1 Internet
44328	Les Pontreaux		44	44020	BOUGUENAIS	063.00021	351712.35	6685869.06	1976	2006	Non	NOUEL ENTREPRISE NOUEL	02 09 2006	Gneiss	1977	2006	1 Internet
44329	Les Daudières		44	44047	COUERON		342731.56	6691260.67	1974	2004	Non	CARRIERES CHASSE CARRIERES DES DAUDIERES	28 02 2004	Gneiss	1974	2004	
53076	Espiet		33	33157	ESPIET		442500.01	6416008.38	1927	1931	Non	CALCIA CIMENTS FRANCAIS (ITALCEMENTI GROUP) CIMENTS DE DAIGNAC	01 01 2000	Roche calcaire			
60722	CARTE DE CLERMONT-FERRAND		63	63141	DURTOL		704973.62	6522379.73	1955	1999	Non	CHAMBON		Basalte			1 Internet
60723	CARTE DE CLERMONT-FERRAND		63	63254	NOHANENT		704996.90	6522690.36	1958	1998	Non	CHAMBON	Basalte				
63467	CARTE DE FAYENCE		83	83081	MONTAUROUX		1005990.53	6280909.50	2010		Non	SARL CACHAT ET FILS					1 discri
64606	La Mine de Coeur	300687332	08	08502	YONCQ	057.00142	845104.55	6942260.20	1993	2008	Non	ETIENNE Frères	02 12 2008	Roche calcaire	1993	2008	
64620	Les Carrières	321627473	08	08210	HANNOGNE-SAINT-REMY	057.00075	782957.50	6945252.16	2005	2015	Oui	DEMARIA	24 10 2015	Roche calcaire	2005	2015	
64641	Cuponu		2A	2A247	PORTO-VECCHIO		1222448.34	6063388.57	1953	2036	Oui	AGREGATS SUD CORSE L.G. MILANINI P.GUASCHI F.LAFRANCHI	01 12 2036	Granite, granodiorite, etc	1953	2036	
64661	Brighella		2A	2A362	ZONZA	201.00027	1218104.42	6087185.28	1985	2004	Non	GABRIEL AGOSTINI	17 03 2004	Granite	1986	2004	
64662	La Pointe des Chemins		44	44145	ROUANS	063.00107	330923.96	6685745.15	1978	2031	Oui	RAINGEARD CARRIERES ET BETONS	04 07 2031	Gneiss	1978	2031	
64718	Au vieux mont	786020685	08	08397	SAINT-REMY-LE-PETIT	057.02217	789585.67	6922207.37	1990	2007	Non	URANO	11 12 2007	Roche calcaire	1990	2007	
64720	L'Echo	344531173	08	08449	THIN-LE-MOUTIER	057.02633	806410.19	6957240.19	1989	2017	Oui	boucher	08 04 2017	Roche calcaire	1989	2017	
64741	Gialla		2A	2A300	SAN-GAVINO-DI-CARBINI	203.00001	1224276.92	6082764.18	1985	2006	Non	GABRIEL AGOSTINI	19 04 2006	Granite	1986	1997	
64743	le Châtelet	330033804	51	51395	NESLE-LA-REPOSTE	057.02524	738663.85	6837458.96	2002	2020	Oui	CERATERA	20 03 2020	Roche calcaire	2002	2021	
64763	La Nau Quincha	310699194	08	08469	VENDRESSE	057.00132	829477.08	6948454.03	1990	2024	Oui	SAS carrières de Vendresse société PONSIGNON	05 07 2024	Roche calcaire	1990	2024	
64764	Tienne de Chooz	786220251	08	08122	CHOOZ	057.00052	827986.00	7004446.34	1998	2018	Oui	LAFARGE GRANULATS NORD EST	11 06 2018	Roche calcaire	2002	2018	
64765	Les Croix	786020685	08	08449	THIN-LE-MOUTIER	057.00123	809055.24	6958388.53	1987	2026	Oui	URANO	02 05 2026	Roche calcaire	1987	2026	
64782	Le Bocheux		10	10076	CHAMPIGNOL-LEZ-MONDEVILLE	057.02307	823381.27	6781999.84	1988	2033	Oui	BETON DE LA HAUTE SEINE	11 12 2033	Roche calcaire	1988	2033	
64789	La Corée	786220251	10	10437	VIREY-SOUS-BAR	057.00512	797681.76	6781914.92	1975	2024	Oui	CARRIERE DE VIREY GRANULATS SEINE NORMANDIE REDLAND GRANULATS EST CARRIERES MARTIN	31 07 2024	Roche calcaire	1985	2024	
64797	Le Bas de l'Ardenne	562872697	10	10112	COUSSEGREY	057.00229	777092.61	6761892.10	1979	2014	Oui	SOCIETE D'EXPLOITATION DES CARRIÈRES DE COUSSEGREY SOCIETE DE CONCASSAGE DES CARRIÈRES DE COUSSEGREY PIAT ANDRE FENARD	31 01 2014	Roche calcaire	1979	2013	
64801	Inversu		2A	2A146	LORETO-DI-TALLANO		1202700.08	6086404.58	1980	2039	Oui	INDUSTRIES SARTENAISES Industries sartenaises SA	24 11 2039	Granite, granodiorite, etc	1981	2039	
64825	Hardtberg	675980064	67	67274	LORENTZEN	067.00097	1005150.05	6881591.57	1997	2019	Oui	KARCHER	20 01 2004	Roche calcaire	1997	2019	
64834	Au dessus de Bicherey		10	10097	CHERVEY	057.02183	810447.35	6782420.97	1993	2012	Oui	DOSSOT	31 12 2012	Roche calcaire	1991	2012	
64837	La Côte Pautée	305291643	10	10087	CHASEREY	057.00179	780616.07	6762340.08	1998	2009	Oui	SOCIETE MORGAGNI - ZEIMETT LAUREY	31 12 2009	Roche calcaire	1998	2009	
64844	La Côte en Tournant		10	10194	LEVIGNY	057.02333	827411.94	6800460.72	2000	2020	Oui	GUERITTE	17 04 2020	Roche calcaire	2000	2020	
64846	Les Charmes	788268407	10	10150	FONTAINE	057.00249	828575.71	6791649.77	1984	2011	Oui	CARRIERES ST CHRISTOPHE	28 05 2011	Roche calcaire	1984	2011	
64847	Galgen	377250097	67	67520	WASSELONNE	067.00183	1027141.49	6848016.19	1984	2014	Oui	CHAUX DE WASSELONNE (GALGEN) HOLCIM MORTIER CHAUX REYSER ET CIE	16 12 2014	Roche calcaire	1984	2014	
64869	Le mont Chavaux	788268407	10	10310	PUITS-ET-NUISEMENT	057.00370	812807.79	6791245.43	1982	2019	Oui	CARRIERES ST CHRISTOPHE	30 04 2019	Roche calcaire	1982	2018	
64875	Pont Blanc		67	67070	BURBACH	067.04136	1001944.59	6875396.32	2006	2026	Oui	EMILE ANDRE WENDLING	11 01 2026	Roche calcaire	2006	2026	
64876	Tête Salomon	542067541	10	10032	BAROVILLE	057.00153	832528.81	6788923.52	1985	2026	Oui	CARRIERES ST CHRISTOPHE JEAN LEFEBVRE JEAN LEFEBVRE EST	15 04 2026	Roche calcaire	1985	2025	
64877	Auf dem Berg	675880058	67	67081	DAHLENHEIM	067.00029	1031151.91	6840182.16	1984	2026	Oui	BOEHM ET CIE BOEHM ET CIE	13 09 2026	Roche calcaire	1984	2026	
64881	Hardberg	778877001	67	67099	DOMFESSEL	067.00033	1004575.29	6881412.61	1990	2009	Oui	EMILE ANDRE WENDLING	07 10 2009	Roche calcaire	1990	2009	
64886	La Comme Brona	340281716	10	10055	BOURGUIGNONS	057.00163	800158.88	6783125.14	1987	2037	Oui	CEMEX GRANULATS MORILLON CORVOL EXPLOITATION DE CONCASSES CALCAIRES O.G.C.A.T.P	18 12 2007	Roche calcaire	1987	2037	
64889	Champ de la Bête	632880043	10	10181	JULLY-SUR-SARCE	057.00256	797832.25	6781090.38	1990	2031	Oui	CARRIERES CHAMPENOISES	17 06 1999	Roche calcaire	1990	2031	
64890	La Gelinotte	340281716	10	10170	GYE-SUR-SEINE	057.00250	805810.19	6769579.98	1988	2010	Oui	MORILLON CORVOL EXPLOITATION DE CONCASSES CALCAIRES O.G.C.A.T.P	17 10 2010	Roche calcaire	1988	2008	
64892	Le Feyaï		52	52097	CHAMBRONCOURT	057.00939	877335.67	6809062.10	1993	2019	Oui	FRANCOIS TP Francois Michel	29 10 2019	Roche calcaire	1993	2019	
64896	Rougemère		52	52289	LIFFOL-LE-PETIT	057.02798	888287.60	6801223.50	2004	2034	Oui	TERRA VHM	05 08 2034	Roche calcaire	2004	2034	
64898	Haut Chemin		52	52271	LANQUES-SUR-ROGNON	057.00979	874896.66	6778661.53	1990	2015	Oui	ANDRE BOUREAU TRABAT	04 07 2015	Roche calcaire	1990	2015	
64899	Au jeu de quilles		54	54586	VITERNE	062.03595	922129.75	6835128.99	1983	2009	Oui	COGESUD (NEUVES-MAISONS)	06 05 2009	Roche calcaire	1983	2023	
64900	Les Noirées		52	52223	GILLEY	057.00962	898214.45	6735998.82	1975	2008	Non	BONGARZONE ET COMPAGNIE	17 06 2007	Roche calcaire	1975	2007	
64902	Le Ceriselot		52	52243	HUILLIECOURT	057.01370	887628.83	6787591.90	1995	2025	Oui	JOEL HENRIOT	09 11 2025	Roche calcaire	1995	2025	
64903	Pâtis de la Côte Ouest		52	52208	FRESNES-SUR-APANCE	057.00961	911403.47	6764579.16	1978	2008	Oui	BONGARZONE ET COMPAGNIE	24 04 2008	Roche calcaire	1978	2008	
64921	Le Train		52	52414	RACHECOURT-SUR-MARNE	057.01008	853827.52	6826573.50	1993	2026	Oui	CARRIERES ST CHRISTOPHE JEAN LEFEBVRE	31 12 2026	Roche calcaire	1993	2026	
64923	Les vieilles Friches		52	52469	SEMOUTIERS-MONTSAON	057.02585	855414.53	6774462.82	1974	2011	Oui	CARRIERES ST CHRISTOPHE S.N.J. BERTIN BOZZOLINI Oreste	12 01 2011	Roche calcaire	1974	2011	
64925	Farquemont		54	54046	BARISEY-AU-PLAIN	062.00034	911692.32	6826753.87	1999	2009	Oui	MICHEL FRERES	24 12 2009	Roche calcaire	1999	2009	
64926	Champs de neuf Journeaux		52	52489	THOL-LES-MILLIERES	057.01048	883740.48	6784879.75	1987	2028	Oui	GABS ETABLISSEMENTS BARBIER Patrick	02 09 2028	Roche calcaire	1988	2028	
64927	Poirier à la Lieue		52	52449	SAINTS-GEOSMES	057.01041	875137.07	6748773.08	1986	2015	Oui	BONGARZONE ET COMPAGNIE BONGARZONE Frères DALCON ET BEGEL	04 03 2015	Roche calcaire	1990	2014	
64929	Charme Ronde		52	52355	NOIDANT-LE-ROCHEUX	057.02346	868668.18	6747933.13	1985	2015	Oui	BONGARZONE Frères	13 06 2015	Roche calcaire	1985	2015	
64933	Pincourt		52	52353	NOGENT	057.02393	877154.60	6776670.25	1999	2018	Oui	ENTREPRISE PERROT	09 05 2018	Roche calcaire	1999	2018	
64934	La Côte		54	54091	BOUXIERES-SOUS-FROIDMONT	062.01121	925866.56	6877958.58	1988	2003	Oui	LINGENHELD ENVIRONNEMENT CARRIERES ET SABLIERES DE RHIN ET MOSELLE	02 08 2004	Roche calcaire	1988	2003	
64936	Combe du Val Thierry		52	52251	JONCHERY	057.02584	855836.10	6782221.12	1979	2009	Non	CARRIERES ST CHRISTOPHE S.N.J. BERTIN BOZZOLINI Oreste	04 07 2009	Roche calcaire	1979	2009	
64937	Grands Champs	788801581	54	54106	BURES	062.03450	961867.14	6850243.86	1984	2009	Oui	BONHOMME JEAN	04 05 2010	Roche calcaire	1984	2010	
